date,be_ya_base,fr_ya_base,nl_ya_base,ger_ya_base,uk_ya_base_eur
5/14/09,53.85,53.5,53.75,52.3,55.235
5/15/09,54.25,53.8,53.7,52.7,55.24
5/18/09,54,53.95,53.85,52.6,55.39
5/19/09,55,55,55,53.6,56.445
5/20/09,56.1,55.75,55.7,54.3,56.95
5/21/09,55.5,55,55,53.3,55.45
5/22/09,55.75,55.65,55.5,53.6,55.02
5/26/09,54.45,54.4,53.8,53.05,54.425
5/27/09,55.55,55.4,54.85,53.85,55.42
5/28/09,55.35,55.3,55,53.8,55.985
5/29/09,55.5,55.25,55.2,53.65,55.955
6/1/09,54.95,55.75,54.65,54.5,56.32
6/2/09,55.6,55.25,54.85,53.9,57.455
6/3/09,55,54.5,53.95,52.95,56.49
6/4/09,55.05,54.75,54.1,53.05,56.93
6/5/09,55.7,55.45,54.8,53.4,57.19
6/8/09,55.2,54.7,54.2,53.15,56.57
6/9/09,55.55,55.3,54.6,53.3,57.095
6/10/09,56.05,55.9,55.25,53.7,57.78
6/11/09,55.9,55.9,54.95,53.5,57.71
6/12/09,55.4,55.5,53.95,53.2,57.365
6/15/09,54.55,54.25,53.25,51.7,56.825
6/16/09,55,54.65,53.7,52.2,57.73
6/17/09,53.25,53.05,52.45,50.5,57.04
6/18/09,53.75,53.6,52.6,51.15,56.755
6/19/09,54.25,54,52.85,51.3,56.44
6/22/09,52.8,52.5,51.45,50,55.02
6/23/09,52.75,52.7,51.85,50.05,54.96
6/24/09,53.05,52.95,51.85,50.4,54.31
6/25/09,53.45,53.05,52.35,50.8,54.935
6/26/09,53.6,53.05,52.4,50.65,54.455
6/29/09,53.35,53,52,50.75,54.695
6/30/09,53.55,53.1,52.2,50.35,53.825
7/1/09,53,52.35,51.45,49.7,53.285
7/2/09,52.15,51.9,50.15,49.4,52.08
7/3/09,52,51.65,50.7,49.2,51.87
7/6/09,51.5,51.3,50.05,48.85,50.995
7/7/09,51.95,51.7,50.6,49.35,50.99
7/8/09,52.15,51.9,50.75,49.75,51.1
7/9/09,52.4,52.2,51.3,49.9,51.745
7/10/09,52.25,52.1,50.95,49.85,50.7
7/13/09,52.4,52.45,51.15,50.05,51.63
7/14/09,52.85,52.7,51.6,50.25,51.33
7/15/09,52.6,52.3,51.1,49.9,51.81
7/16/09,52.5,52.5,50.8,50.05,51.745
7/17/09,52.4,52.2,50.6,49.8,51.685
7/20/09,52.1,51.95,50.5,49.35,51.735
7/21/09,52.5,52.1,50.75,49.7,53.01
7/22/09,51.9,51.65,50.25,49.15,52.89
7/23/09,51.75,51.8,50.4,49.4,53.18
7/24/09,52,51.9,50.65,49.5,53.6
7/27/09,51.9,51.75,50.55,49.35,53.64
7/28/09,51.7,51.4,50.15,48.95,53.42
7/29/09,51.2,51.25,50.05,48.85,52.67
7/30/09,51.3,51.4,50.35,49.3,53.21
7/31/09,51.25,51.4,50.35,49.3,53.165
8/3/09,51.4,52,51,49.85,53.36
8/4/09,51.6,52.25,51,50.15,53.875
8/5/09,51.8,52.5,51.5,50.25,53.815
8/6/09,52.25,53,51.75,50.6,54.98
8/7/09,52,52.5,51.6,50.4,54.3
8/10/09,51.85,52.5,51.35,50.2,54.49
8/11/09,52.1,52.45,51.45,50.1,53.795
8/12/09,51.9,52.45,51.3,50,53.82
8/13/09,52.4,53,51.85,50.8,54.245
8/14/09,52.95,53.6,52.35,51.3,53.95
8/17/09,52.55,53.2,51.95,50.75,53.31
8/18/09,52.45,52.95,51.9,50.6,53.13
8/19/09,52.35,53,51.9,50.75,53.925
8/20/09,52.3,52.65,51.75,50.55,52.96
8/21/09,52.4,53.05,52.1,51.1,52.72
8/24/09,52.25,52.75,51.75,50.65,52.105
8/25/09,52,52.5,51.4,50.35,51.375
8/26/09,51.25,52.25,51.1,50.35,50.97
8/27/09,51.1,52,50.85,49.85,50.825
8/28/09,51,52,50.65,49.9,50.965
9/1/09,50.2,51.4,49.85,49.2,49.715
9/2/09,50.3,51.55,49.65,49.2,48.555
9/3/09,50.1,51.75,49.35,49.25,48.26
9/4/09,49.7,51.15,48.7,48.8,47.51
9/7/09,49.85,50.9,48.55,48.6,47.5
9/8/09,49.95,51.4,49,49,48.545
9/9/09,50.2,51.75,49,49.05,48.975
9/10/09,49.9,51.45,48.75,48.75,48.295
9/11/09,49.75,51.2,48.65,48.65,48.34
9/14/09,49.05,50.5,47.5,47.85,47.37
9/15/09,48.65,50.3,47.4,47.8,47.275
9/16/09,48.8,50.3,47.55,47.85,47.02
9/17/09,48.5,49.95,47.25,47.6,46.825
9/18/09,48.2,50.05,47.05,47.45,46.72
9/21/09,48,49.9,47,47.35,45.575
9/22/09,48.15,50.15,47.15,47.45,45.615
9/23/09,48.4,50.1,46.85,47.15,45.795
9/24/09,47.7,49.5,46.5,46.6,45.11
9/25/09,47.45,49.2,46.45,46.6,45.355
9/28/09,47.8,49.75,46.9,46.9,45.98
9/29/09,47.85,49.6,46.8,46.75,45.765
9/30/09,48.2,49.6,46.85,47,46.25
10/1/09,48,49.85,47,47.05,46.2
10/2/09,47.6,49.7,46.75,46.8,46.185
10/5/09,47.7,50.2,46.95,47.15,46.3
10/6/09,48.7,51,47.8,48.05,47.275
10/7/09,49.3,51.55,48.3,48.25,46.735
10/8/09,49.05,51.1,48.05,48.2,46.83
10/9/09,49.15,51.6,48.3,48.3,47.655
10/12/09,49.5,52.65,48.6,48.55,49.14
10/13/09,49.8,52.35,48.5,48.3,49.145
10/14/09,49.65,51.9,48.5,48,49.035
10/15/09,49.5,51.6,47.9,47.7,48.235
10/16/09,49.45,52.3,48.2,48,48.86
10/19/09,50,53.4,48.4,48.25,49.89
10/20/09,50.5,54.65,49,48.75,49.945
10/21/09,50.8,55.75,49.6,49.75,50.335
10/22/09,51.1,54.85,49.5,49.3,50.885
10/23/09,50.75,55.55,49.3,49.05,50
10/26/09,50.4,54.6,49,48.5,48.61
10/27/09,49.9,54.4,48.6,48.4,48.685
10/28/09,49.9,54.65,48.85,48.5,48.625
10/29/09,50.25,55.2,49.05,48.55,49.445
10/30/09,50.4,55.4,49,48.55,49.22
11/2/09,50.35,55.55,49,48.55,48.38
11/3/09,50.05,54.3,48.6,48.4,47.455
11/4/09,49.35,53.75,48.05,47.85,48.07
11/5/09,49.3,53.65,47.95,47.7,47.54
11/6/09,48.75,52.6,47.4,47.25,46.6
11/9/09,48,51.35,46.6,46.65,46.23
11/10/09,48.1,51,46.85,46.65,46.32
11/11/09,48,51,47.05,46.85,46.59
11/12/09,47.25,50,46.3,45.95,45.52
11/13/09,47.35,50.9,46.35,46.45,45.335
11/16/09,47.45,51.5,46.45,46.9,45.69
11/17/09,47.1,51.3,46.1,46.65,45.69
11/18/09,47.6,52.35,46.7,46.9,46.04
11/19/09,46.5,51.4,45.65,46.05,44.48
11/20/09,46.95,51.1,45.4,46,44.155
11/23/09,46.45,50.5,45,45.45,43.94
11/24/09,45.65,48.55,44.55,44.85,42.74
11/25/09,45.75,48.55,44.6,44.9,43.175
11/26/09,46,48.7,44.8,44.8,43.115
11/27/09,45.3,48.5,44.2,44.7,42.905
11/30/09,44.75,47.5,43.65,43.95,42.295
12/1/09,44.7,47.8,43.5,43.8,41.965
12/2/09,44.3,46.95,42.95,43.15,42.295
12/3/09,44.2,47.05,42.95,43.05,42.375
12/4/09,43.65,46.8,42.8,42.95,42.415
12/7/09,44.8,47.95,43.75,44.1,43.98
12/8/09,44.9,48,43.7,43.85,44.105
12/9/09,44.7,47.5,43.7,43.9,44.165
12/10/09,44.95,47.7,43.8,44.1,43.48
12/11/09,45.35,48,44.15,44.4,43.795
12/14/09,45.3,47.75,44.15,44.3,44.255
12/15/09,46,48.6,44.9,45,44.225
12/16/09,45.5,48,44.6,44.8,45.03
12/17/09,44.7,47.45,43.95,44.1,45.305
12/18/09,44.85,47.55,44.3,44.5,45.815
12/21/09,45.1,47.8,44.35,44.45,45.58
12/22/09,45,47.95,44.45,44.7,44.61
12/23/09,45,47.8,44.5,44.55,44.85
12/24/09,45.25,48.05,44.75,44.8,44.705
12/29/09,45.25,47.8,44.75,43.95,48.08
12/30/09,45.25,48.4,44.75,44.05,45.625
12/31/09,45.25,48.4,44.75,44.1,45.69
1/4/10,52.5,54.3,52,52.9,46.57
1/5/10,52.25,54,51.8,52.6,46.625
1/6/10,51.7,53.15,51.15,51.8,46.08
1/7/10,51.9,53.65,51.45,52.3,46.605
1/8/10,51.7,53.35,51.1,52,45.775
1/11/10,51.35,52.7,50.4,51.05,45.46
1/12/10,50.4,52.3,49.75,50.7,44.36
1/13/10,49.8,51.5,49.05,49.9,43.765
1/14/10,50.25,52,49.45,50.4,44.45
1/15/10,49.75,51.75,48.95,49.95,44.505
1/18/10,49.4,51.65,48.6,49.9,44.515
1/19/10,49.65,52.2,49.05,50.25,45.46
1/20/10,49.7,51.75,48.9,49.7,45.645
1/21/10,49.6,51.7,48.8,49.55,45.185
1/22/10,49.2,51.2,48.4,49.2,45.08
1/25/10,49.35,51.6,48.7,49.6,45.69
1/26/10,49.3,51.8,48.55,49.6,46.51
1/27/10,50,52.1,49.25,50.05,45.98
1/28/10,49.5,51.5,48.7,49.45,45.385
